TimeStamp;Valor;Període tarifari;Tipus lectura
22/01/2023 08:00;2;6;Real
22/01/2023 09:00;5;6;Real
22/01/2023 10:00;12;6;Real
22/01/2023 11:00;4;6;Real
22/01/2023 12:00;1;6;Real
22/01/2023 13:00;0;6;Real
22/01/2023 14:00;0;6;Real
22/01/2023 15:00;0;6;Real
22/01/2023 16:00;1;6;Real
22/01/2023 17:00;1;6;Real
22/01/2023 18:00;3;6;Real
22/01/2023 19:00;2;6;Real
22/01/2023 20:00;2;6;Real
22/01/2023 21:00;2;6;Real
22/01/2023 22:00;2;6;Real
22/01/2023 23:00;3;6;Real
23/01/2023 00:00;2;6;Real
23/01/2023 01:00;2;6;Real
23/01/2023 02:00;2;6;Real
23/01/2023 03:00;3;6;Real
23/01/2023 04:00;2;6;Real
23/01/2023 05:00;7;6;Real
23/01/2023 06:00;11;6;Real
23/01/2023 07:00;11;6;Real
23/01/2023 08:00;15;2;Real
23/01/2023 09:00;33;1;Real
23/01/2023 10:00;31;1;Real
23/01/2023 11:00;8;1;Real
23/01/2023 12:00;0;1;Real
23/01/2023 13:00;0;1;Real
23/01/2023 14:00;0;2;Real
23/01/2023 15:00;5;2;Real
23/01/2023 16:00;20;2;Real
23/01/2023 17:00;19;2;Real
23/01/2023 18:00;22;1;Real
23/01/2023 19:00;21;1;Real
23/01/2023 20:00;15;1;Real
23/01/2023 21:00;8;1;Real
23/01/2023 22:00;2;2;Real
23/01/2023 23:00;2;2;Real
24/01/2023 00:00;3;6;Real
24/01/2023 01:00;2;6;Real
24/01/2023 02:00;2;6;Real
24/01/2023 03:00;2;6;Real
24/01/2023 04:00;2;6;Real
24/01/2023 05:00;6;6;Real
24/01/2023 06:00;7;6;Real
24/01/2023 07:00;7;6;Real
24/01/2023 08:00;19;2;Real
24/01/2023 09:00;39;1;Real
24/01/2023 10:00;42;1;Real
24/01/2023 11:00;49;1;Real
24/01/2023 12:00;46;1;Real
24/01/2023 13:00;45;1;Real
24/01/2023 14:00;35;2;Real
24/01/2023 15:00;33;2;Real
24/01/2023 16:00;47;2;Real
24/01/2023 17:00;43;2;Real
24/01/2023 18:00;36;1;Real
24/01/2023 19:00;41;1;Real
24/01/2023 20:00;34;1;Real
24/01/2023 21:00;32;1;Real
24/01/2023 22:00;29;2;Real
24/01/2023 23:00;27;2;Real
25/01/2023 00:00;27;6;Real
25/01/2023 01:00;25;6;Real
25/01/2023 02:00;26;6;Real
25/01/2023 03:00;26;6;Real
25/01/2023 04:00;26;6;Real
25/01/2023 05:00;27;6;Real
25/01/2023 06:00;30;6;Real
25/01/2023 07:00;30;6;Real
25/01/2023 08:00;12;2;Real
25/01/2023 09:00;16;1;Real
25/01/2023 10:00;9;1;Real
25/01/2023 11:00;4;1;Real
25/01/2023 12:00;1;1;Real
25/01/2023 13:00;0;1;Real
25/01/2023 14:00;0;2;Real
25/01/2023 15:00;2;2;Real
25/01/2023 16:00;9;2;Real
25/01/2023 17:00;25;2;Real
25/01/2023 18:00;23;1;Real
25/01/2023 19:00;15;1;Real
25/01/2023 20:00;11;1;Real
25/01/2023 21:00;32;1;Real
25/01/2023 22:00;29;2;Real
25/01/2023 23:00;30;2;Real
26/01/2023 00:00;28;6;Real
26/01/2023 01:00;30;6;Real
26/01/2023 02:00;28;6;Real
26/01/2023 03:00;30;6;Real
26/01/2023 04:00;30;6;Real
26/01/2023 05:00;31;6;Real
26/01/2023 06:00;31;6;Real
26/01/2023 07:00;20;6;Real
26/01/2023 08:00;7;2;Real
26/01/2023 09:00;13;1;Real
26/01/2023 10:00;14;1;Real
26/01/2023 11:00;8;1;Real
26/01/2023 12:00;2;1;Real
26/01/2023 13:00;1;1;Real
26/01/2023 14:00;0;2;Real
26/01/2023 15:00;2;2;Real
26/01/2023 16:00;7;2;Real
26/01/2023 17:00;17;2;Real
26/01/2023 18:00;16;1;Real
26/01/2023 19:00;9;1;Real
26/01/2023 20:00;18;1;Real
26/01/2023 21:00;29;1;Real
26/01/2023 22:00;27;2;Real
26/01/2023 23:00;26;2;Real
27/01/2023 00:00;26;6;Real
27/01/2023 01:00;27;6;Real
27/01/2023 02:00;26;6;Real
27/01/2023 03:00;28;6;Real
27/01/2023 04:00;29;6;Real
27/01/2023 05:00;31;6;Real
27/01/2023 06:00;31;6;Real
27/01/2023 07:00;30;6;Real
27/01/2023 08:00;8;2;Real
27/01/2023 09:00;11;1;Real
27/01/2023 10:00;6;1;Real
27/01/2023 11:00;2;1;Real
27/01/2023 12:00;0;1;Real
27/01/2023 13:00;0;1;Real
27/01/2023 14:00;1;2;Real
27/01/2023 15:00;2;2;Real
27/01/2023 16:00;17;2;Real
27/01/2023 17:00;16;2;Real
27/01/2023 18:00;16;1;Real
27/01/2023 19:00;26;1;Real
27/01/2023 20:00;33;1;Real
27/01/2023 21:00;28;1;Real
27/01/2023 22:00;28;2;Real
27/01/2023 23:00;26;2;Real
28/01/2023 00:00;25;6;Real
28/01/2023 01:00;26;6;Real
28/01/2023 02:00;27;6;Real
28/01/2023 03:00;26;6;Real
28/01/2023 04:00;26;6;Real
28/01/2023 05:00;26;6;Real
28/01/2023 06:00;30;6;Real
28/01/2023 07:00;25;6;Real
28/01/2023 08:00;6;6;Real
28/01/2023 09:00;5;6;Real
28/01/2023 10:00;2;6;Real
28/01/2023 11:00;1;6;Real
28/01/2023 12:00;2;6;Real
28/01/2023 13:00;1;6;Real
28/01/2023 14:00;2;6;Real
28/01/2023 15:00;1;6;Real
28/01/2023 16:00;5;6;Real
28/01/2023 17:00;8;6;Real
28/01/2023 18:00;27;6;Real
28/01/2023 19:00;16;6;Real
28/01/2023 20:00;9;6;Real
28/01/2023 21:00;8;6;Real
28/01/2023 22:00;2;6;Real
28/01/2023 23:00;2;6;Real
29/01/2023 00:00;3;6;Real
29/01/2023 01:00;2;6;Real
29/01/2023 02:00;2;6;Real
29/01/2023 03:00;2;6;Real
29/01/2023 04:00;2;6;Real
29/01/2023 05:00;3;6;Real
29/01/2023 06:00;2;6;Real
29/01/2023 07:00;2;6;Real
29/01/2023 08:00;2;6;Real
29/01/2023 09:00;1;6;Real
29/01/2023 10:00;1;6;Real
29/01/2023 11:00;0;6;Real
29/01/2023 12:00;0;6;Real
29/01/2023 13:00;0;6;Real
29/01/2023 14:00;0;6;Real
29/01/2023 15:00;0;6;Real
29/01/2023 16:00;0;6;Real
29/01/2023 17:00;2;6;Real
29/01/2023 18:00;2;6;Real
29/01/2023 19:00;2;6;Real
29/01/2023 20:00;2;6;Real
29/01/2023 21:00;3;6;Real
29/01/2023 22:00;2;6;Real
29/01/2023 23:00;2;6;Real
30/01/2023 00:00;2;6;Real
30/01/2023 01:00;2;6;Real
30/01/2023 02:00;3;6;Real
30/01/2023 03:00;2;6;Real
30/01/2023 04:00;2;6;Real
30/01/2023 05:00;9;6;Real
30/01/2023 06:00;8;6;Real
30/01/2023 07:00;7;6;Real
30/01/2023 08:00;7;2;Real
30/01/2023 09:00;34;1;Real
30/01/2023 10:00;32;1;Real
30/01/2023 11:00;9;1;Real
30/01/2023 12:00;0;1;Real
30/01/2023 13:00;0;1;Real
30/01/2023 14:00;0;2;Real
30/01/2023 15:00;1;2;Real
30/01/2023 16:00;13;2;Real
30/01/2023 17:00;16;2;Real
30/01/2023 18:00;17;1;Real
30/01/2023 19:00;11;1;Real
30/01/2023 20:00;7;1;Real
30/01/2023 21:00;6;1;Real
30/01/2023 22:00;2;2;Real
30/01/2023 23:00;2;2;Real
31/01/2023 00:00;3;6;Real
31/01/2023 01:00;2;6;Real
31/01/2023 02:00;2;6;Real
31/01/2023 03:00;2;6;Real
31/01/2023 04:00;2;6;Real
31/01/2023 05:00;7;6;Real
31/01/2023 06:00;6;6;Real
31/01/2023 07:00;7;6;Real
31/01/2023 08:00;10;2;Real
31/01/2023 09:00;9;1;Real
31/01/2023 10:00;5;1;Real
31/01/2023 11:00;2;1;Real
31/01/2023 12:00;0;1;Real
31/01/2023 13:00;0;1;Real
31/01/2023 14:00;2;2;Real
31/01/2023 15:00;4;2;Real
31/01/2023 16:00;11;2;Real
31/01/2023 17:00;17;2;Real
31/01/2023 18:00;13;1;Real
31/01/2023 19:00;7;1;Real
31/01/2023 20:00;4;1;Real
31/01/2023 21:00;3;1;Real
31/01/2023 22:00;3;2;Real
31/01/2023 23:00;2;2;Real
01/02/2023 00:00;2;6;Real
01/02/2023 01:00;2;6;Real
01/02/2023 02:00;2;6;Real
01/02/2023 03:00;2;6;Real
01/02/2023 04:00;2;6;Real
01/02/2023 05:00;6;6;Real
01/02/2023 06:00;6;6;Real
01/02/2023 07:00;8;6;Real
01/02/2023 08:00;8;2;Real
01/02/2023 09:00;11;1;Real
01/02/2023 10:00;14;1;Real
01/02/2023 11:00;4;1;Real
01/02/2023 12:00;0;1;Real
01/02/2023 13:00;0;1;Real
01/02/2023 14:00;3;2;Real
01/02/2023 15:00;2;2;Real
01/02/2023 16:00;7;2;Real
01/02/2023 17:00;25;2;Real
01/02/2023 18:00;30;1;Real
01/02/2023 19:00;30;1;Real
01/02/2023 20:00;9;1;Real
01/02/2023 21:00;5;1;Real
01/02/2023 22:00;2;2;Real
01/02/2023 23:00;2;2;Real
02/02/2023 00:00;3;6;Real
02/02/2023 01:00;2;6;Real
02/02/2023 02:00;2;6;Real
